Service,Port,Protocol,Description
unknown,45407,unknown,Unassigned
unknown,45408,unknown,Unassigned
unknown,45409,unknown,Unassigned
unknown,45410,unknown,Unassigned
unknown,45411,unknown,Unassigned
unknown,45412,unknown,Unassigned
unknown,45413,unknown,Unassigned
unknown,45414,unknown,Unassigned
unknown,45415,unknown,Unassigned
unknown,45416,unknown,Unassigned
unknown,45417,unknown,Unassigned
unknown,45418,unknown,Unassigned
unknown,45419,unknown,Unassigned
unknown,45420,unknown,Unassigned
unknown,45421,unknown,Unassigned
unknown,45422,unknown,Unassigned
unknown,45423,unknown,Unassigned
unknown,45424,unknown,Unassigned
unknown,45425,unknown,Unassigned
unknown,45426,unknown,Unassigned
unknown,45427,unknown,Unassigned
unknown,45428,unknown,Unassigned
unknown,45429,unknown,Unassigned
unknown,45430,unknown,Unassigned
unknown,45431,unknown,Unassigned
unknown,45432,unknown,Unassigned
unknown,45433,unknown,Unassigned
unknown,45434,unknown,Unassigned
unknown,45435,unknown,Unassigned
unknown,45436,unknown,Unassigned
unknown,45437,unknown,Unassigned
unknown,45438,unknown,Unassigned
unknown,45439,unknown,Unassigned
unknown,45440,unknown,Unassigned
unknown,45441,unknown,Unassigned
unknown,45442,unknown,Unassigned
unknown,45443,unknown,Unassigned
unknown,45444,unknown,Unassigned
unknown,45445,unknown,Unassigned
unknown,45446,unknown,Unassigned
unknown,45447,unknown,Unassigned
unknown,45448,unknown,Unassigned
unknown,45449,unknown,Unassigned
unknown,45450,unknown,Unassigned
unknown,45451,unknown,Unassigned
unknown,45452,unknown,Unassigned
unknown,45453,unknown,Unassigned
unknown,45454,unknown,Unassigned
unknown,45455,unknown,Unassigned
unknown,45456,unknown,Unassigned
unknown,45457,unknown,Unassigned
unknown,45458,unknown,Unassigned
unknown,45459,unknown,Unassigned
unknown,45460,unknown,Unassigned
unknown,45461,unknown,Unassigned
unknown,45462,unknown,Unassigned
unknown,45463,unknown,Unassigned
unknown,45464,unknown,Unassigned
unknown,45465,unknown,Unassigned
unknown,45466,unknown,Unassigned
unknown,45467,unknown,Unassigned
unknown,45468,unknown,Unassigned
unknown,45469,unknown,Unassigned
unknown,45470,unknown,Unassigned
unknown,45471,unknown,Unassigned
unknown,45472,unknown,Unassigned
unknown,45473,unknown,Unassigned
unknown,45474,unknown,Unassigned
unknown,45475,unknown,Unassigned
unknown,45476,unknown,Unassigned
unknown,45477,unknown,Unassigned
unknown,45478,unknown,Unassigned
unknown,45479,unknown,Unassigned
unknown,45480,unknown,Unassigned
unknown,45481,unknown,Unassigned
unknown,45482,unknown,Unassigned
unknown,45483,unknown,Unassigned
unknown,45484,unknown,Unassigned
unknown,45485,unknown,Unassigned
unknown,45486,unknown,Unassigned
unknown,45487,unknown,Unassigned
unknown,45488,unknown,Unassigned
unknown,45489,unknown,Unassigned
unknown,45490,unknown,Unassigned
unknown,45491,unknown,Unassigned
unknown,45492,unknown,Unassigned
unknown,45493,unknown,Unassigned
unknown,45494,unknown,Unassigned
unknown,45495,unknown,Unassigned
unknown,45496,unknown,Unassigned
unknown,45497,unknown,Unassigned
unknown,45498,unknown,Unassigned
unknown,45499,unknown,Unassigned
unknown,45500,unknown,Unassigned
unknown,45501,unknown,Unassigned
unknown,45502,unknown,Unassigned
unknown,45503,unknown,Unassigned
unknown,45504,unknown,Unassigned
unknown,45505,unknown,Unassigned
unknown,45506,unknown,Unassigned
unknown,45507,unknown,Unassigned
unknown,45508,unknown,Unassigned
unknown,45509,unknown,Unassigned
unknown,45510,unknown,Unassigned
unknown,45511,unknown,Unassigned
unknown,45512,unknown,Unassigned
unknown,45513,unknown,Unassigned
cloudcheck,45514,tcp,ASSIA CloudCheck WiFi Management System
cloudcheck-ping,45514,udp,ASSIA CloudCheck WiFi Management keepalive
unknown,45515,unknown,Unassigned
unknown,45516,unknown,Unassigned
unknown,45517,unknown,Unassigned
unknown,45518,unknown,Unassigned
unknown,45519,unknown,Unassigned
unknown,45520,unknown,Unassigned
unknown,45521,unknown,Unassigned
unknown,45522,unknown,Unassigned
unknown,45523,unknown,Unassigned
unknown,45524,unknown,Unassigned
unknown,45525,unknown,Unassigned
unknown,45526,unknown,Unassigned
unknown,45527,unknown,Unassigned
unknown,45528,unknown,Unassigned
unknown,45529,unknown,Unassigned
unknown,45530,unknown,Unassigned
unknown,45531,unknown,Unassigned
unknown,45532,unknown,Unassigned
unknown,45533,unknown,Unassigned
unknown,45534,unknown,Unassigned
unknown,45535,unknown,Unassigned
unknown,45536,unknown,Unassigned
unknown,45537,unknown,Unassigned
unknown,45538,unknown,Unassigned
unknown,45539,unknown,Unassigned
unknown,45540,unknown,Unassigned
unknown,45541,unknown,Unassigned
unknown,45542,unknown,Unassigned
unknown,45543,unknown,Unassigned
unknown,45544,unknown,Unassigned
unknown,45545,unknown,Unassigned
unknown,45546,unknown,Unassigned
unknown,45547,unknown,Unassigned
unknown,45548,unknown,Unassigned
unknown,45549,unknown,Unassigned
unknown,45550,unknown,Unassigned
unknown,45551,unknown,Unassigned
unknown,45552,unknown,Unassigned
